x	y	z	R
-0.24500	-0.04000	0.00000	1
-0.24500	-0.03500	0.00000	1
-0.24500	-0.03000	0.00000	1
-0.24500	-0.02500	0.00000	1
-0.24500	-0.02000	0.00000	1
-0.24500	-0.01500	0.00000	1
-0.24500	-0.01000	0.00000	1
-0.24500	-0.00500	0.00000	1
-0.24500	0.00000	0.00000	1
-0.24500	0.00500	0.00000	1
-0.24500	0.01000	0.00000	1
-0.24500	0.01500	0.00000	1
-0.24500	0.02000	0.00000	1
-0.24500	0.02500	0.00000	1
-0.24500	0.03000	0.00000	1
-0.24500	0.03500	0.00000	1
-0.24500	0.04000	0.00000	1
-0.24500	0.04500	0.00000	1
-0.24500	0.05000	0.00000	1
-0.24500	0.05500	0.00000	1
-0.24500	0.06000	0.00000	1
-0.24500	0.06500	0.00000	1
-0.24500	0.07000	0.00000	1
-0.24500	0.07500	0.00000	1
-0.24500	0.08000	0.00000	1
-0.24500	0.08500	0.00000	1
-0.24500	0.09000	0.00000	1
-0.24500	0.09500	0.00000	1
-0.24500	0.10000	0.00000	1
-0.24500	0.10500	0.00000	1
-0.24500	0.11000	0.00000	1
-0.24500	0.11500	0.00000	1
-0.24500	0.12000	0.00000	1
-0.24500	0.12500	0.00000	1
-0.24500	0.13000	0.00000	1
-0.24500	0.13500	0.00000	1
-0.24500	0.14000	0.00000	1
-0.24500	0.14500	0.00000	1
-0.24500	0.15000	0.00000	1
-0.24500	0.15500	0.00000	1
-0.24500	0.16000	0.00000	1
-0.24500	0.16500	0.00000	1
-0.24500	0.17000	0.00000	1
-0.24500	0.17500	0.00000	1
-0.24500	0.18000	0.00000	1
-0.24500	0.18500	0.00000	1
-0.24500	0.19000	0.00000	1
-0.24500	0.19500	0.00000	1
-0.24500	0.20000	0.00000	1
-0.24500	0.20500	0.00000	1
-0.24500	0.21000	0.00000	1
-0.24500	0.21500	0.00000	1
-0.24500	0.22000	0.00000	1
-0.24500	0.22500	0.00000	1
-0.24500	0.23000	0.00000	1
-0.24500	0.23500	0.00000	1
-0.24500	0.24000	0.00000	1
-0.24500	0.24500	0.00000	1
-0.24500	0.25000	0.00000	1
-0.24000	-0.25000	0.00000	1
-0.24000	-0.24500	0.00000	1
-0.24000	-0.24000	0.00000	1
-0.24000	-0.23500	0.00000	1
-0.24000	-0.23000	0.00000	1
-0.24000	-0.22500	0.00000	1
-0.24000	-0.22000	0.00000	1
-0.24000	-0.21500	0.00000	1
-0.24000	-0.21000	0.00000	1
-0.24000	-0.20500	0.00000	1
-0.24000	-0.20000	0.00000	1
-0.24000	-0.19500	0.00000	1
-0.24000	-0.19000	0.00000	1
-0.24000	-0.18500	0.00000	1
-0.24000	-0.18000	0.00000	1
-0.24000	-0.17500	0.00000	1
-0.24000	-0.17000	0.00000	1
-0.24000	-0.16500	0.00000	1
-0.24000	-0.16000	0.00000	1
-0.24000	-0.15500	0.00000	1
-0.24000	-0.15000	0.00000	1
-0.24000	-0.14500	0.00000	1
-0.24000	-0.14000	0.00000	1
-0.24000	-0.13500	0.00000	1
-0.24000	-0.13000	0.00000	1
-0.24000	-0.12500	0.00000	1
-0.24000	-0.12000	0.00000	1
-0.24000	-0.11500	0.00000	1
-0.24000	-0.11000	0.00000	1
-0.24000	-0.10500	0.00000	1
-0.24000	-0.10000	0.00000	1
-0.24000	-0.09500	0.00000	1
-0.24000	-0.09000	0.00000	1
-0.24000	-0.08500	0.00000	1
-0.24000	-0.08000	0.00000	1
-0.24000	-0.07500	0.00000	1
-0.24000	-0.07000	0.00000	1
-0.24000	-0.06500	0.00000	1
-0.24000	-0.06000	0.00000	1
-0.24000	-0.05500	0.00000	1
-0.24000	-0.05000	0.00000	1
-0.24000	-0.04500	0.00000	1
-0.24000	-0.04000	0.00000	1
-0.24000	-0.03500	0.00000	1
-0.24000	-0.03000	0.00000	1
-0.24000	-0.02500	0.00000	1
-0.24000	-0.02000	0.00000	1
-0.24000	-0.01500	0.00000	1
-0.24000	-0.01000	0.00000	1
-0.24000	-0.00500	0.00000	1
-0.24000	0.00000	0.00000	1
-0.24000	0.00500	0.00000	1
-0.24000	0.01000	0.00000	1
-0.24000	0.01500	0.00000	1
-0.24000	0.02000	0.00000	1
-0.24000	0.02500	0.00000	1
-0.24000	0.03000	0.00000	1
-0.24000	0.03500	0.00000	1
-0.24000	0.04000	0.00000	1
-0.24000	0.04500	0.00000	1
-0.24000	0.05000	0.00000	1
-0.24000	0.05500	0.00000	1
-0.24000	0.06000	0.00000	1
-0.24000	0.06500	0.00000	1
-0.24000	0.07000	0.00000	1
-0.24000	0.07500	0.00000	1
-0.24000	0.08000	0.00000	1
-0.24000	0.08500	0.00000	1
-0.24000	0.09000	0.00000	1
-0.24000	0.09500	0.00000	1
-0.24000	0.10000	0.00000	1
-0.24000	0.10500	0.00000	1
-0.24000	0.11000	0.00000	1
-0.24000	0.11500	0.00000	1
-0.24000	0.12000	0.00000	1
-0.24000	0.12500	0.00000	1
-0.24000	0.13000	0.00000	1
-0.24000	0.13500	0.00000	1
-0.24000	0.14000	0.00000	1
-0.24000	0.14500	0.00000	1
-0.24000	0.15000	0.00000	1
-0.24000	0.15500	0.00000	1
-0.24000	0.16000	0.00000	1
-0.24000	0.16500	0.00000	1
-0.24000	0.17000	0.00000	1
-0.24000	0.17500	0.00000	1
-0.24000	0.18000	0.00000	1
-0.24000	0.18500	0.00000	1
-0.24000	0.19000	0.00000	1
-0.24000	0.19500	0.00000	1
-0.24000	0.20000	0.00000	1
-0.24000	0.20500	0.00000	1
-0.24000	0.21000	0.00000	1
-0.24000	0.21500	0.00000	1
-0.24000	0.22000	0.00000	1
-0.24000	0.22500	0.00000	1
-0.24000	0.23000	0.00000	1
-0.24000	0.23500	0.00000	1
-0.24000	0.24000	0.00000	1
-0.24000	0.24500	0.00000	1
-0.24000	0.25000	0.00000	1
-0.23500	-0.25000	0.00000	1
-0.23500	-0.24500	0.00000	1
-0.23500	-0.24000	0.00000	1
-0.23500	-0.23500	0.00000	1
-0.23500	-0.23000	0.00000	1
-0.23500	-0.22500	0.00000	1
-0.23500	-0.22000	0.00000	1
-0.23500	-0.21500	0.00000	1
-0.23500	-0.21000	0.00000	1
-0.23500	-0.20500	0.00000	1
-0.23500	-0.20000	0.00000	1
-0.23500	-0.19500	0.00000	1
-0.23500	-0.19000	0.00000	1
-0.23500	-0.18500	0.00000	1
-0.23500	-0.18000	0.00000	1
-0.23500	-0.17500	0.00000	1
-0.23500	-0.17000	0.00000	1
-0.23500	-0.16500	0.00000	1
-0.23500	-0.16000	0.00000	1
-0.23500	-0.15500	0.00000	1
-0.23500	-0.15000	0.00000	1
-0.23500	-0.14500	0.00000	1
-0.23500	-0.14000	0.00000	1
-0.23500	-0.13500	0.00000	1
-0.23500	-0.13000	0.00000	1
-0.23500	-0.12500	0.00000	1
-0.23500	-0.12000	0.00000	1
-0.23500	-0.11500	0.00000	1
-0.23500	-0.11000	0.00000	1
-0.23500	-0.10500	0.00000	1
-0.23500	-0.10000	0.00000	1
-0.23500	-0.09500	0.00000	1
-0.23500	-0.09000	0.00000	1
-0.23500	-0.08500	0.00000	1
-0.23500	-0.08000	0.00000	1
-0.23500	-0.07500	0.00000	1
-0.23500	-0.07000	0.00000	1
-0.23500	-0.06500	0.00000	1
-0.23500	-0.06000	0.00000	1
-0.23500	-0.05500	0.00000	1
-0.23500	-0.05000	0.00000	1
-0.23500	-0.04500	0.00000	1
-0.23500	-0.04000	0.00000	1
-0.23500	-0.03500	0.00000	1
-0.23500	-0.03000	0.00000	1
-0.23500	-0.02500	0.00000	1
-0.23500	-0.02000	0.00000	1
-0.23500	-0.01500	0.00000	1
-0.23500	-0.01000	0.00000	1
-0.23500	-0.00500	0.00000	1
-0.23500	0.00000	0.00000	1
-0.23500	0.00500	0.00000	1
-0.23500	0.01000	0.00000	1
-0.23500	0.01500	0.00000	1
-0.23500	0.02000	0.00000	1
-0.23500	0.02500	0.00000	1
-0.23500	0.03000	0.00000	1
-0.23500	0.03500	0.00000	1
-0.23500	0.04000	0.00000	1
-0.23500	0.04500	0.00000	1
-0.23500	0.05000	0.00000	1
-0.23500	0.05500	0.00000	1
-0.23500	0.06000	0.00000	1
-0.23500	0.06500	0.00000	1
-0.23500	0.07000	0.00000	1
-0.23500	0.07500	0.00000	1
-0.23500	0.08000	0.00000	1
-0.23500	0.08500	0.00000	1
-0.23500	0.09000	0.00000	1
-0.23500	0.09500	0.00000	1
-0.23500	0.10000	0.00000	1
-0.23500	0.10500	0.00000	1
-0.23500	0.11000	0.00000	1
-0.23500	0.11500	0.00000	1
-0.23500	0.12000	0.00000	1
-0.23500	0.12500	0.00000	1
-0.23500	0.13000	0.00000	1
-0.23500	0.13500	0.00000	1
-0.23500	0.14000	0.00000	1
-0.23500	0.14500	0.00000	1
-0.23500	0.15000	0.00000	1
-0.23500	0.15500	0.00000	1
-0.23500	0.16000	0.00000	1
-0.23500	0.16500	0.00000	1
-0.23500	0.17000	0.00000	1
-0.23500	0.17500	0.00000	1
-0.23500	0.18000	0.00000	1
-0.23500	0.18500	0.00000	1
-0.23500	0.19000	0.00000	1
-0.23500	0.19500	0.00000	1
-0.23500	0.20000	0.00000	1
-0.23500	0.20500	0.00000	1
-0.23500	0.21000	0.00000	1
-0.23500	0.21500	0.00000	1
-0.23500	0.22000	0.00000	1
-0.23500	0.22500	0.00000	1
-0.23500	0.23000	0.00000	1
-0.23500	0.23500	0.00000	1
-0.23500	0.24000	0.00000	1
-0.23500	0.24500	0.00000	1
-0.23500	0.25000	0.00000	1
-0.23000	-0.25000	0.00000	1
-0.23000	-0.24500	0.00000	1
-0.23000	-0.24000	0.00000	1
-0.23000	-0.23500	0.00000	1
-0.23000	-0.23000	0.00000	1
-0.23000	-0.22500	0.00000	1
-0.23000	-0.22000	0.00000	1
-0.23000	-0.21500	0.00000	1
-0.23000	-0.21000	0.00000	1
-0.23000	-0.20500	0.00000	1
-0.23000	-0.20000	0.00000	1
-0.23000	-0.19500	0.00000	1
-0.23000	-0.19000	0.00000	1
-0.23000	-0.18500	0.00000	1
-0.23000	-0.18000	0.00000	1
-0.23000	-0.17500	0.00000	1
-0.23000	-0.17000	0.00000	1
-0.23000	-0.16500	0.00000	1
-0.23000	-0.16000	0.00000	1
-0.23000	-0.15500	0.00000	1
-0.23000	-0.15000	0.00000	1
-0.23000	-0.14500	0.00000	1
-0.23000	-0.14000	0.00000	1
-0.23000	-0.13500	0.00000	1
-0.23000	-0.13000	0.00000	1
-0.23000	-0.12500	0.00000	1
-0.23000	-0.12000	0.00000	1
-0.23000	-0.11500	0.00000	1
-0.23000	-0.11000	0.00000	1
-0.23000	-0.10500	0.00000	1
-0.23000	-0.10000	0.00000	1
-0.23000	-0.09500	0.00000	1
-0.23000	-0.09000	0.00000	1
-0.23000	-0.08500	0.00000	1
-0.23000	-0.08000	0.00000	1
-0.23000	-0.07500	0.00000	1
-0.23000	-0.07000	0.00000	1
-0.23000	-0.06500	0.00000	1
-0.23000	-0.06000	0.00000	1
-0.23000	-0.05500	0.00000	1
-0.23000	-0.05000	0.00000	1
-0.23000	-0.04500	0.00000	1
-0.23000	-0.04000	0.00000	1
-0.23000	-0.03500	0.00000	1
-0.23000	-0.03000	0.00000	1
-0.23000	-0.02500	0.00000	1
-0.23000	-0.02000	0.00000	1
-0.23000	-0.01500	0.00000	1
-0.23000	-0.01000	0.00000	1
-0.23000	-0.00500	0.00000	1
-0.23000	0.00000	0.00000	1
-0.23000	0.00500	0.00000	1
-0.23000	0.01000	0.00000	1
-0.23000	0.01500	0.00000	1
-0.23000	0.02000	0.00000	1
-0.23000	0.02500	0.00000	1
-0.23000	0.03000	0.00000	1
-0.23000	0.03500	0.00000	1
-0.23000	0.04000	0.00000	1
-0.23000	0.04500	0.00000	1
-0.23000	0.05000	0.00000	1
-0.23000	0.05500	0.00000	1
-0.23000	0.06000	0.00000	1
-0.23000	0.06500	0.00000	1
-0.23000	0.07000	0.00000	1
-0.23000	0.07500	0.00000	1
-0.23000	0.08000	0.00000	1
-0.23000	0.08500	0.00000	1
-0.23000	0.09000	0.00000	1
-0.23000	0.09500	0.00000	1
-0.23000	0.10000	0.00000	1
-0.23000	0.10500	0.00000	1
-0.23000	0.11000	0.00000	1
-0.23000	0.11500	0.00000	1
-0.23000	0.12000	0.00000	1
-0.23000	0.12500	0.00000	1
-0.23000	0.13000	0.00000	1
-0.23000	0.13500	0.00000	1
-0.23000	0.14000	0.00000	1
-0.23000	0.14500	0.00000	1
-0.23000	0.15000	0.00000	1
-0.23000	0.15500	0.00000	1
-0.23000	0.16000	0.00000	1
-0.23000	0.16500	0.00000	1
-0.23000	0.17000	0.00000	1
-0.23000	0.17500	0.00000	1
-0.23000	0.18000	0.00000	1
-0.23000	0.18500	0.00000	1
-0.23000	0.19000	0.00000	1
-0.23000	0.19500	0.00000	1
-0.23000	0.20000	0.00000	1
-0.23000	0.20500	0.00000	1
-0.23000	0.21000	0.00000	1
-0.23000	0.21500	0.00000	1
-0.23000	0.22000	0.00000	1
-0.23000	0.22500	0.00000	1
-0.23000	0.23000	0.00000	1
-0.23000	0.23500	0.00000	1
-0.23000	0.24000	0.00000	1
-0.23000	0.24500	0.00000	1
-0.23000	0.25000	0.00000	1
-0.22500	-0.25000	0.00000	1
-0.22500	-0.24500	0.00000	1
-0.22500	-0.24000	0.00000	1
-0.22500	-0.23500	0.00000	1
-0.22500	-0.23000	0.00000	1
-0.22500	-0.22500	0.00000	1
-0.22500	-0.22000	0.00000	1
-0.22500	-0.21500	0.00000	1
-0.22500	-0.21000	0.00000	1
-0.22500	-0.20500	0.00000	1
-0.22500	-0.20000	0.00000	1
-0.22500	-0.19500	0.00000	1
-0.22500	-0.19000	0.00000	1
-0.22500	-0.18500	0.00000	1
-0.22500	-0.18000	0.00000	1
-0.22500	-0.17500	0.00000	1
-0.22500	-0.17000	0.00000	1
-0.22500	-0.16500	0.00000	1
-0.22500	-0.16000	0.00000	1
-0.22500	-0.15500	0.00000	1
-0.22500	-0.15000	0.00000	1
-0.22500	-0.14500	0.00000	1
-0.22500	-0.14000	0.00000	1
-0.22500	-0.13500	0.00000	1
-0.22500	-0.13000	0.00000	1
-0.22500	-0.12500	0.00000	1
-0.22500	-0.12000	0.00000	1
-0.22500	-0.11500	0.00000	1
-0.22500	-0.11000	0.00000	1
-0.22500	-0.10500	0.00000	1
-0.22500	-0.10000	0.00000	1
-0.22500	-0.09500	0.00000	1
-0.22500	-0.09000	0.00000	1
-0.22500	-0.08500	0.00000	1
-0.22500	-0.08000	0.00000	1
-0.22500	-0.07500	0.00000	1
-0.22500	-0.07000	0.00000	1
-0.22500	-0.06500	0.00000	1
-0.22500	-0.06000	0.00000	1
-0.22500	-0.05500	0.00000	1
-0.22500	-0.05000	0.00000	1
-0.22500	-0.04500	0.00000	1
-0.22500	-0.04000	0.00000	1
-0.22500	-0.03500	0.00000	1
-0.22500	-0.03000	0.00000	1
-0.22500	-0.02500	0.00000	1
-0.22500	-0.02000	0.00000	1
-0.22500	-0.01500	0.00000	1
-0.22500	-0.01000	0.00000	1
-0.22500	-0.00500	0.00000	1
-0.22500	0.00000	0.00000	1
-0.22500	0.00500	0.00000	1
-0.22500	0.01000	0.00000	1
-0.22500	0.01500	0.00000	1
-0.22500	0.02000	0.00000	1
-0.22500	0.02500	0.00000	1
-0.22500	0.03000	0.00000	1
-0.22500	0.03500	0.00000	1
-0.22500	0.04000	0.00000	1
-0.22500	0.04500	0.00000	1
-0.22500	0.05000	0.00000	1
-0.22500	0.05500	0.00000	1
-0.22500	0.06000	0.00000	1
-0.22500	0.06500	0.00000	1
-0.22500	0.07000	0.00000	1
-0.22500	0.07500	0.00000	1
-0.22500	0.08000	0.00000	1
-0.22500	0.08500	0.00000	1
-0.22500	0.09000	0.00000	1
-0.22500	0.09500	0.00000	1
-0.22500	0.10000	0.00000	1
-0.22500	0.10500	0.00000	1
-0.22500	0.11000	0.00000	1
-0.22500	0.11500	0.00000	1
-0.22500	0.12000	0.00000	1
-0.22500	0.12500	0.00000	1
-0.22500	0.13000	0.00000	1
-0.22500	0.13500	0.00000	1
-0.22500	0.14000	0.00000	1
-0.22500	0.14500	0.00000	1
-0.22500	0.15000	0.00000	1
-0.22500	0.15500	0.00000	1
-0.22500	0.16000	0.00000	1
-0.22500	0.16500	0.00000	1
-0.22500	0.17000	0.00000	1
-0.22500	0.17500	0.00000	1
-0.22500	0.18000	0.00000	1
-0.22500	0.18500	0.00000	1
-0.22500	0.19000	0.00000	1
-0.22500	0.19500	0.00000	1
-0.22500	0.20000	0.00000	1
-0.22500	0.20500	0.00000	1
-0.22500	0.21000	0.00000	1
-0.22500	0.21500	0.00000	1
-0.22500	0.22000	0.00000	1
-0.22500	0.22500	0.00000	1
-0.22500	0.23000	0.00000	1
-0.22500	0.23500	0.00000	1
-0.22500	0.24000	0.00000	1
-0.22500	0.24500	0.00000	1
-0.22500	0.25000	0.00000	1
-0.22000	-0.25000	0.00000	1
-0.22000	-0.24500	0.00000	1
-0.22000	-0.24000	0.00000	1
-0.22000	-0.23500	0.00000	1
-0.22000	-0.23000	0.00000	1
-0.22000	-0.22500	0.00000	1
-0.22000	-0.22000	0.00000	1
-0.22000	-0.21500	0.00000	1
-0.22000	-0.21000	0.00000	1
-0.22000	-0.20500	0.00000	1
-0.22000	-0.20000	0.00000	1
-0.22000	-0.19500	0.00000	1
-0.22000	-0.19000	0.00000	1
-0.22000	-0.18500	0.00000	1
-0.22000	-0.18000	0.00000	1
-0.22000	-0.17500	0.00000	1
-0.22000	-0.17000	0.00000	1
-0.22000	-0.16500	0.00000	1
-0.22000	-0.16000	0.00000	1
-0.22000	-0.15500	0.00000	1
-0.22000	-0.15000	0.00000	1
-0.22000	-0.14500	0.00000	1
-0.22000	-0.14000	0.00000	1
-0.22000	-0.13500	0.00000	1
-0.22000	-0.13000	0.00000	1
-0.22000	-0.12500	0.00000	1
-0.22000	-0.12000	0.00000	1
-0.22000	-0.11500	0.00000	1
-0.22000	-0.11000	0.00000	1
-0.22000	-0.10500	0.00000	1
-0.22000	-0.10000	0.00000	1
-0.22000	-0.09500	0.00000	1
-0.22000	-0.09000	0.00000	1
-0.22000	-0.08500	0.00000	1
-0.22000	-0.08000	0.00000	1
-0.22000	-0.07500	0.00000	1
-0.22000	-0.07000	0.00000	1
-0.22000	-0.06500	0.00000	1
-0.22000	-0.06000	0.00000	1
-0.22000	-0.05500	0.00000	1
-0.22000	-0.05000	0.00000	1
-0.22000	-0.04500	0.00000	1
-0.22000	-0.04000	0.00000	1
-0.22000	-0.03500	0.00000	1
-0.22000	-0.03000	0.00000	1
-0.22000	-0.02500	0.00000	1
-0.22000	-0.02000	0.00000	1
-0.22000	-0.01500	0.00000	1
-0.22000	-0.01000	0.00000	1
-0.22000	-0.00500	0.00000	1
-0.22000	0.00000	0.00000	1
-0.22000	0.00500	0.00000	1
-0.22000	0.01000	0.00000	1
-0.22000	0.01500	0.00000	1
-0.22000	0.02000	0.00000	1
-0.22000	0.02500	0.00000	1
-0.22000	0.03000	0.00000	1
-0.22000	0.03500	0.00000	1
-0.22000	0.04000	0.00000	1
-0.22000	0.04500	0.00000	1
-0.22000	0.05000	0.00000	1
-0.22000	0.05500	0.00000	1
-0.22000	0.06000	0.00000	1
-0.22000	0.06500	0.00000	1
-0.22000	0.07000	0.00000	1
-0.22000	0.07500	0.00000	1
-0.22000	0.08000	0.00000	1
-0.22000	0.08500	0.00000	1
-0.22000	0.09000	0.00000	1
-0.22000	0.09500	0.00000	1
-0.22000	0.10000	0.00000	1
-0.22000	0.10500	0.00000	1
-0.22000	0.11000	0.00000	1
-0.22000	0.11500	0.00000	1
-0.22000	0.12000	0.00000	1
-0.22000	0.12500	0.00000	1
-0.22000	0.13000	0.00000	1
-0.22000	0.13500	0.00000	1
-0.22000	0.14000	0.00000	1
-0.22000	0.14500	0.00000	1
-0.22000	0.15000	0.00000	1
-0.22000	0.15500	0.00000	1
-0.22000	0.16000	0.00000	1
-0.22000	0.16500	0.00000	1
-0.22000	0.17000	0.00000	1
-0.22000	0.17500	0.00000	1
-0.22000	0.18000	0.00000	1
-0.22000	0.18500	0.00000	1
-0.22000	0.19000	0.00000	1
-0.22000	0.19500	0.00000	1
-0.22000	0.20000	0.00000	1
-0.22000	0.20500	0.00000	1
-0.22000	0.21000	0.00000	1
-0.22000	0.21500	0.00000	1
-0.22000	0.22000	0.00000	1
-0.22000	0.22500	0.00000	1
-0.22000	0.23000	0.00000	1
-0.22000	0.23500	0.00000	1
-0.22000	0.24000	0.00000	1
-0.22000	0.24500	0.00000	1
-0.22000	0.25000	0.00000	1
-0.21500	-0.25000	0.00000	1
-0.21500	-0.24500	0.00000	1
-0.21500	-0.24000	0.00000	1
-0.21500	-0.23500	0.00000	1
-0.21500	-0.23000	0.00000	1
-0.21500	-0.22500	0.00000	1
-0.21500	-0.22000	0.00000	1
-0.21500	-0.21500	0.00000	1
-0.21500	-0.21000	0.00000	1
-0.21500	-0.20500	0.00000	1
-0.21500	-0.20000	0.00000	1
-0.21500	-0.19500	0.00000	1
-0.21500	-0.19000	0.00000	1
-0.21500	-0.18500	0.00000	1
-0.21500	-0.18000	0.00000	1
-0.21500	-0.17500	0.00000	1
-0.21500	-0.17000	0.00000	1
-0.21500	-0.16500	0.00000	1
-0.21500	-0.16000	0.00000	1
-0.21500	-0.15500	0.00000	1
-0.21500	-0.15000	0.00000	1
-0.21500	-0.14500	0.00000	1
-0.21500	-0.14000	0.00000	1
-0.21500	-0.13500	0.00000	1
-0.21500	-0.13000	0.00000	1
-0.21500	-0.12500	0.00000	1
-0.21500	-0.12000	0.00000	1
-0.21500	-0.11500	0.00000	1
-0.21500	-0.11000	0.00000	1
-0.21500	-0.10500	0.00000	1
-0.21500	-0.10000	0.00000	1
-0.21500	-0.09500	0.00000	1
-0.21500	-0.09000	0.00000	1
-0.21500	-0.08500	0.00000	1
-0.21500	-0.08000	0.00000	1
-0.21500	-0.07500	0.00000	1
-0.21500	-0.07000	0.00000	1
-0.21500	-0.06500	0.00000	1
-0.21500	-0.06000	0.00000	1
-0.21500	-0.05500	0.00000	1
-0.21500	-0.05000	0.00000	1
-0.21500	-0.04500	0.00000	1
-0.21500	-0.04000	0.00000	1
-0.21500	-0.03500	0.00000	1
-0.21500	-0.03000	0.00000	1
-0.21500	-0.02500	0.00000	1
-0.21500	-0.02000	0.00000	1
